Country,Country_Code
Iceland,+354
Sudan,+249
Latvia,+371
South Africa,+27
Central African Republic,+236
India,+91
Singapore,+65
Tuvalu,+688
Brazil,+55
Peru,+51
San Marino,+378
United States,+1
Somalia,+252
Zimbabwe,+263
Germany,+49
Niger,+227
Belize,+501
Bolivia,+591
Kosovo,+383
Comoros,+269
South Korea,+82
Monaco,+377
Uganda,+256
Ukraine,+380
Argentina,+54
Guatemala,+502
Belarus,+375
Algeria,+213
Costa Rica,+506
Myanmar,+95
Saint Lucia,+1-758
Indonesia,+62
Paraguay,+595
Czech Republic,+420
Nauru,+674
Burkina Faso,+226
Bosnia and Herzegovina,+387
Lebanon,+961
Vatican City,+379
Croatia,+385
Senegal,+221
Angola,+244
Guyana,+592
Malawi,+265
Greece,+30
Haiti,+509
Burundi,+257
China,+86
El Salvador,+503
Nigeria,+234
Venezuela,+58
Tonga,+676
Eritrea,+291
Cambodia,+855
Estonia,+372
Lesotho,+266
Mexico,+52
Kiribati,+686
Brunei,+673
Dominican Republic,+1-809
France,+33
Marshall Islands,+692
Samoa,+685
Bahamas,+1-242
North Macedonia,+389
Syria,+963
Kyrgyzstan,+996
Sierra Leone,+232
Canada,+1
Guinea-Bissau,+245
Kazakhstan,+7
Malaysia,+60
Guinea,+224
Montenegro,+382
Saint Kitts and Nevis,+1-869
Cyprus,+357
Sweden,+46
Italy,+39
Botswana,+267
Equatorial Guinea,+240
Libya,+218
Lithuania,+370
Luxembourg,+352
United Arab Emirates,+971
Cuba,+53
Liechtenstein,+423
Zambia,+260
Ivory Coast (Côte d'Ivoire),+225
Poland,+48
Azerbaijan,+994
Saudi Arabia,+966
Solomon Islands,+677
Kuwait,+965
South Sudan,+211
United Kingdom,+44
Australia,+61
Cape Verde,+238
Jamaica,+1-876
Chile,+56
Taiwan,+886
Slovenia,+386
Suriname,+597
Albania,+355
Mali,+223
Colombia,+57
Norway,+47
Slovakia,+421
Togo,+228
Congo (Republic),+242
Dominica,+1-767
Jordan,+962
Bhutan,+975
Kenya,+254
Thailand,+66
Sri Lanka,+94
Djibouti,+253
Namibia,+264
Saint Vincent and the Grenadines,+1-784
Georgia,+995
Uruguay,+598
East Timor,+670
Liberia,+231
Madagascar,+261
Tunisia,+216
Portugal,+351
Finland,+358
Papua New Guinea,+675
Chad,+235
Morocco,+212
Grenada,+1-473
Hungary,+36
Panama,+507
Ethiopia,+251
Mauritius,+230
Philippines,+63
Gabon,+241
Russia,+7
Spain,+34
Uzbekistan,+998
Moldova,+373
Gambia,+220
Ireland,+353
Tanzania,+255
Serbia,+381
Austria,+43
Seychelles,+248
Maldives,+960
Eswatini,+268
Qatar,+974
Ghana,+233
Laos,+856
Turkey,+90
Ecuador,+593
Iran,+98
Andorra,+376
Congo (Democratic Republic),+243
Fiji,+679
Afghanistan,+93
Belgium,+32
Mauritania,+222
Pakistan,+92
Palau,+680
Barbados,+1-246
Benin,+229
Vietnam,+84
Denmark,+45
Egypt,+20
New Zealand,+64
Malta,+356
Bulgaria,+359
Bahrain,+973
Honduras,+504
Mozambique,+258
Turkmenistan,+993
Netherlands,+31
Trinidad and Tobago,+1-868
Oman,+968
Cameroon,+237
Mongolia,+976
Yemen,+967
Iraq,+964
Switzerland,+41
Vanuatu,+678
Nicaragua,+505
Bangladesh,+880
Israel,+972
Micronesia,+691
Armenia,+374
Japan,+81
Nepal,+977
Romania,+40
Rwanda,+250
Tajikistan,+992
